,Day,State id,Modal Price
633,3,16,1968
634,6,16,1864
635,6,16,1822
636,2,12,1730
637,2,12,1775
638,5,16,1650
639,5,11,2152
640,2,16,1798
641,4,16,1756
642,2,16,1755
643,3,16,1892
644,2,16,1741
645,4,11,1801
646,3,16,1760
647,3,16,1845
648,6,16,1725
649,6,11,1650
650,7,11,1550
651,5,16,1861
652,4,16,1700
653,6,16,1860
654,5,16,1850
655,6,3,1751
656,5,11,1780
657,4,12,1831
658,3,16,1745
659,3,16,1725
660,3,16,1760
661,5,16,1945
662,7,11,1600
663,6,11,1850
664,4,12,1750
665,5,16,1740
666,4,16,1700
667,4,16,1665
668,6,16,1856
669,7,16,1856
670,5,16,1912
671,7,16,1821
672,2,16,1830
673,2,16,1759
674,3,16,1700
675,7,16,1810
676,5,12,1985
677,3,12,1851
678,5,16,1620
679,3,16,1800
680,7,3,1640
681,3,11,1600
682,7,12,1832
683,4,12,1788
684,6,16,1810
685,2,16,1700
686,4,16,1760
687,3,12,1720
688,2,12,2111
689,6,16,1750
690,5,16,1850
691,5,3,1910
692,4,11,1700
693,6,12,1720
694,2,12,1791
695,4,16,1779
696,2,16,1790
697,2,16,1820
698,2,16,1804
699,4,16,1850
700,3,11,1900
701,4,12,1575
702,7,16,1852
703,7,16,1758
704,5,16,1809
705,3,16,1725
706,5,16,1815
707,4,16,1834
708,6,16,1650
709,6,16,1860
710,3,16,1833
711,6,16,1800
712,4,19,1990
713,6,19,1646
714,3,12,1526
715,4,16,2100
716,7,16,1830
717,5,16,1960
718,2,16,1715
719,3,19,1646
720,7,16,1734
721,6,16,1850
722,3,16,1750
723,6,16,1500
724,4,19,1647
725,5,11,1750
726,3,16,1665
727,6,16,1450
